PayrollURN,TrainingDate,Course,CourseeCode
1007,2013-10-14 00:00:00.000,SYS - First Aid at Work (FAW)  [Shield Yourself Tr,FAW
1007,2014-02-07 00:00:00.000,SYS - Fire Awareness Training [Night Team - 3 Mont,FT3
1007,2014-08-26 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1007,2014-08-26 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1007,2014-09-03 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
1007,2014-12-03 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
1007,2015-02-27 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1007,2015-02-27 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1007,2015-09-27 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1007,2015-09-27 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1007,2015-10-13 00:00:00.000,SYS - Food Safety Level 1 Learning Link [Shield Yo,FSL1
1008,2012-05-21 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1008,2014-02-20 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1008,2014-02-20 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1008,2014-07-22 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1008,2014-07-22 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1008,2015-02-20 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1008,2015-02-20 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1008,2015-09-25 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1008,2015-09-25 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1008,2015-09-28 00:00:00.000,SYS - Food Safety Level 1 Learning Link [Shield Yo,FSL1
1010,2011-08-18 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1010,2014-02-21 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1010,2014-02-21 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1010,2014-08-05 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1010,2014-08-05 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1010,2014-08-06 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
1010,2015-02-17 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1010,2015-02-17 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1010,2015-08-24 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1010,2015-08-24 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1010,2015-11-30 00:00:00.000,SYS - Manual Handling (Management Level),SYS2
1015,2013-01-01 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1015,2014-02-21 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1015,2014-02-21 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1015,2014-07-24 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1015,2014-07-24 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1015,2015-02-23 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1015,2015-02-23 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1015,2015-04-24 00:00:00.000,SYS - Safe Use of Chemicals - Control of Substance,COSHH
1015,2015-08-19 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1015,2015-08-19 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1019,1999-10-10 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1019,2014-02-20 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1019,2014-02-20 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1019,2014-07-22 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1019,2014-07-22 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1019,2014-08-11 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
1019,2014-08-11 00:00:00.000,SYS - Legionella Awareness  [Shield Yourself Train,LA1
1019,2015-08-20 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1019,2015-08-20 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1019,2015-09-04 00:00:00.000,SYS - Health & Safety Level 2 [Shield Yourself Tra,H&S5
1022,2013-01-01 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1022,2014-02-21 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1022,2014-02-21 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1022,2014-08-08 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1022,2014-08-08 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1022,2015-02-17 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1022,2015-02-17 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1022,2015-04-24 00:00:00.000,SYS - Safe Use of Chemicals - Control of Substance,COSHH
1022,2015-08-26 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1022,2015-08-26 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1023,2008-02-12 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1023,2014-03-06 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1023,2014-03-06 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1023,2014-07-22 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1023,2014-07-22 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1023,2014-08-11 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
1023,2014-08-14 00:00:00.000,SYS - First Aid at Work (FAW)  [Shield Yourself Tr,FAW
1023,2014-08-15 00:00:00.000,SYS - Legionella Awareness  [Shield Yourself Train,LA1
1023,2014-12-03 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
1023,2015-08-20 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1023,2015-08-20 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1023,2015-09-04 00:00:00.000,SYS - Health & Safety Level 2 [Shield Yourself Tra,H&S5
1026,2013-01-01 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1026,2014-02-20 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1026,2014-02-20 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1026,2014-08-12 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1026,2014-08-12 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1026,2015-02-17 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1026,2015-02-17 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1026,2015-04-24 00:00:00.000,SYS - Safe Use of Chemicals - Control of Substance,COSHH
1026,2015-08-26 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1026,2015-08-26 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1030,2004-04-05 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1030,2014-02-25 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1030,2014-02-25 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1030,2014-07-24 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1030,2014-07-24 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1030,2015-02-17 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1030,2015-02-17 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1030,2015-08-12 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1030,2015-08-12 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1031,2013-07-01 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1031,2014-02-25 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1031,2014-02-25 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1031,2014-07-22 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1031,2014-07-22 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1031,2015-02-20 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1031,2015-02-20 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1031,2015-04-24 00:00:00.000,SYS - Safe Use of Chemicals - Control of Substance,COSHH
1031,2015-08-19 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1031,2015-08-19 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1032,1998-11-02 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1032,2014-02-20 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1032,2014-02-20 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1032,2014-07-22 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1032,2014-07-22 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1032,2015-02-26 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1032,2015-02-26 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1032,2015-04-24 00:00:00.000,SYS - Safe Use of Chemicals - Control of Substance,COSHH
1032,2015-08-19 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1032,2015-08-19 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1033,1998-10-12 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1033,2014-02-21 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1033,2014-02-21 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1033,2014-07-22 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1033,2014-07-22 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1033,2014-08-06 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
1033,2015-02-19 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1033,2015-02-19 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1033,2015-08-10 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1033,2015-08-10 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1033,2015-10-08 00:00:00.000,SYS - Health & Safety Level 2 [Shield Yourself Tra,H&S5
1033,2015-11-30 00:00:00.000,SYS - Manual Handling (Management Level),SYS2
1034,2008-03-25 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1034,2013-10-14 00:00:00.000,SYS - First Aid at Work (FAW)  [Shield Yourself Tr,FAW
1034,2014-02-20 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1034,2014-02-20 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1034,2014-07-22 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1034,2014-07-22 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1034,2014-08-18 00:00:00.000,SYS - Legionella Awareness  [Shield Yourself Train,LA1
1034,2014-09-01 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
1034,2015-08-20 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1034,2015-08-20 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1034,2015-09-04 00:00:00.000,SYS - Health & Safety Level 2 [Shield Yourself Tra,H&S5
1035,1998-11-02 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1035,2014-03-06 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1035,2014-03-06 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1035,2014-08-08 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1035,2014-08-08 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1035,2015-03-02 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1035,2015-03-02 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1035,2015-04-24 00:00:00.000,SYS - Safe Use of Chemicals - Control of Substance,COSHH
1035,2015-08-19 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1035,2015-08-19 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1036,2004-09-06 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1036,2015-02-26 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1036,2015-02-26 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1036,2015-05-08 00:00:00.000,SYS - Food Safety Level 1 Learning Link [Shield Yo,FSL1
1036,2015-09-04 00:00:00.000,SYS - Food Safety Level 2  [Shield Yourself Traini,FSL2
1036,2015-09-23 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1036,2015-09-23 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1037,2007-10-01 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1037,2014-02-20 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1037,2014-02-20 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1037,2014-08-05 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1037,2014-08-05 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1037,2015-02-26 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1037,2015-02-26 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1037,2015-08-13 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1037,2015-08-13 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1038,2011-11-16 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1038,2014-03-04 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1038,2014-03-04 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1038,2014-08-26 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1038,2014-08-26 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1038,2014-09-21 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
1038,2015-02-26 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1038,2015-02-26 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1038,2015-09-02 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1038,2015-09-02 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1039,2010-10-04 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1039,2014-03-06 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1039,2014-03-06 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1039,2014-03-27 00:00:00.000,SYS - Food Safety Level 1 Learning Link [Shield Yo,FSL1
1039,2014-07-22 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1039,2014-07-22 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1039,2014-09-26 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
1039,2015-02-23 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1039,2015-02-23 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1039,2015-08-20 00:00:00.000,SYS - First Aid at Work (FAW)  [Shield Yourself Tr,FAW
1039,2015-09-04 00:00:00.000,SYS - Food Safety Level 2  [Shield Yourself Traini,FSL2
1039,2015-10-21 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1039,2015-10-21 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
104,2007-10-08 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
104,2012-11-25 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
104,2013-01-16 00:00:00.000,SYS - First Aid at Work (FAW)  [Shield Yourself Tr,FAW
104,2013-04-03 00:00:00.000,SYS - Food Safety Level 1 Learning Link [Shield Yo,FSL1
104,2013-07-24 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
104,2013-07-24 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
104,2014-02-24 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
104,2014-02-24 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
104,2014-05-02 00:00:00.000,SYS - Food Safety Level 2  [Shield Yourself Traini,FSL2
104,2014-08-04 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
104,2014-08-04 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
104,2015-02-09 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
104,2015-02-09 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
104,2015-02-09 00:00:00.000,SYS - Risk Assessment Training [Shield Yourself Tr,SYS1
104,2015-03-25 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
104,2015-07-01 00:00:00.000,SYS - Food Safety Level 1 Learning Link [Shield Yo,FSL1
104,2015-07-27 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1040,2013-01-01 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1040,2015-02-23 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1040,2015-02-23 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1040,2015-04-24 00:00:00.000,SYS - Safe Use of Chemicals - Control of Substance,COSHH
1040,2015-08-10 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1040,2015-08-10 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1042,2007-03-05 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1042,2014-03-27 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1042,2014-03-27 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1042,2014-09-19 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1042,2014-09-19 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1042,2015-02-19 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1042,2015-02-19 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1042,2015-09-17 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1042,2015-09-17 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1042,2015-10-02 00:00:00.000,SYS - Food Safety Level 1 Learning Link [Shield Yo,FSL1
1043,2011-05-24 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1043,2014-02-10 00:00:00.000,SYS - Fire Awareness Training [Night Team - 3 Mont,FT3
1043,2014-08-26 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1043,2014-08-26 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1043,2014-10-11 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
1043,2015-02-27 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1043,2015-02-27 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1043,2015-03-05 00:00:00.000,SYS - Food Safety Level 1 Learning Link [Shield Yo,FSL1
1043,2015-09-27 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1043,2015-09-27 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1044,2013-01-01 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1044,2014-02-21 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1044,2014-02-21 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1044,2014-07-24 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1044,2014-07-24 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1044,2015-02-17 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1044,2015-02-17 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1044,2015-04-24 00:00:00.000,SYS - Safe Use of Chemicals - Control of Substance,COSHH
1044,2015-08-19 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1044,2015-08-19 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1045,2010-12-13 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1045,2014-02-25 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1045,2014-02-25 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1045,2014-07-22 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1045,2014-07-22 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1045,2015-02-17 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1045,2015-02-17 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1045,2015-04-24 00:00:00.000,SYS - Safe Use of Chemicals - Control of Substance,COSHH
1045,2015-08-19 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1045,2015-08-19 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1053,2011-08-26 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1053,2013-02-16 00:00:00.000,SYS - Food Safety Level 1 Learning Link [Shield Yo,FSL1
1053,2014-02-21 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1053,2014-02-21 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1053,2014-08-26 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1053,2014-08-26 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1053,2014-09-02 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
1053,2014-12-03 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
1053,2015-02-23 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1053,2015-02-23 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1053,2015-08-19 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1053,2015-08-19 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1055,2013-01-01 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1055,2014-02-20 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1055,2014-02-20 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1055,2014-07-24 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1055,2014-07-24 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1055,2015-02-23 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1055,2015-02-23 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1055,2015-04-24 00:00:00.000,SYS - Safe Use of Chemicals - Control of Substance,COSHH
